texture_mean,smoothness_mean,concave points_mean,symmetry_mean,radius_se,texture_se,area_se,smoothness_se,concave points_se,symmetry_se,texture_worst,smoothness_worst,concave points_worst,symmetry_worst,class
4,2,3,2,4,2,4,3,3,3,4,4,3,3,M
4,4,4,4,4,3,4,3,4,1,4,2,4,1,M
4,0,0,1,1,1,1,1,0,0,4,0,0,0,B
2,1,0,0,0,0,0,2,1,3,2,2,1,3,B
2,0,2,0,0,0,1,2,1,0,2,2,2,0,B
3,0,2,1,2,1,2,1,3,1,2,1,3,2,B
3,1,2,0,2,1,2,3,3,1,2,2,2,1,B
2,0,0,1,2,3,1,4,0,4,2,3,0,3,B
4,2,4,1,4,3,4,2,4,1,3,1,4,0,M
2,4,3,3,3,4,2,4,4,2,2,4,3,1,B
2,1,0,4,3,3,2,3,2,2,2,1,1,3,B
4,1,1,2,4,4,3,3,2,3,4,0,0,0,B
0,0,2,1,1,0,2,0,1,0,0,0,2,1,B
4,0,0,1,3,4,3,3,0,4,4,0,0,0,B
0,3,0,3,0,0,0,0,0,0,0,2,1,1,B
1,1,2,1,0,0,0,1,1,1,0,2,2,3,B
3,1,2,0,2,2,3,0,3,1,3,1,3,1,B
1,0,0,2,0,0,0,0,0,0,1,0,1,1,B
0,3,1,2,0,2,0,1,1,2,1,2,1,2,B
2,3,4,4,2,1,3,4,4,4,1,3,3,4,M
2,1,0,0,1,2,0,1,0,1,3,1,0,0,B
2,0,1,0,2,1,2,0,0,0,2,0,1,0,B
0,3,3,2,0,0,0,0,1,1,0,3,3,3,B
1,3,2,2,1,1,1,0,1,0,1,1,2,1,B
0,3,3,2,0,0,0,2,2,0,0,4,3,1,B
1,2,3,4,3,2,3,3,4,4,1,1,3,3,B
1,1,1,0,1,2,1,0,0,0,2,1,1,1,B
2,4,4,2,4,3,4,1,2,2,3,4,4,4,M
1,4,2,2,3,2,2,4,2,3,1,4,2,2,B
3,0,1,2,1,0,2,0,0,2,2,0,2,4,M
4,0,0,0,1,2,1,1,0,1,4,1,1,3,B
0,0,2,0,3,2,3,0,1,0,0,0,1,0,B
3,3,3,4,4,3,4,3,4,4,2,2,3,3,M
0,0,0,1,2,3,2,4,1,4,0,0,0,0,B
3,0,0,1,2,3,2,3,0,3,3,0,0,1,B
3,2,3,0,1,4,2,1,2,2,3,1,2,0,B
2,4,3,1,1,0,1,1,2,2,1,4,3,3,B
1,1,1,0,0,1,0,0,1,1,2,2,2,3,B
1,3,4,2,4,2,4,3,3,1,1,3,3,1,M
3,4,4,2,4,2,4,2,3,0,3,3,4,1,M
1,2,3,1,3,1,3,0,2,0,1,1,2,0,B
4,4,3,4,3,3,3,4,4,3,4,4,3,4,M
1,4,2,3,1,2,1,4,2,4,1,4,2,3,B
2,2,4,0,4,0,4,1,4,3,2,1,4,2,M
0,4,3,4,3,2,1,4,4,3,0,4,2,3,B
0,4,3,4,1,3,1,4,3,4,0,4,2,2,B
3,4,1,4,0,1,0,2,2,0,2,3,1,2,B
1,4,2,3,0,2,0,4,3,3,1,4,2,2,B
1,2,2,1,0,0,1,3,3,0,0,2,3,0,B
4,4,4,2,2,4,3,4,4,3,4,4,4,3,M
0,0,1,0,0,0,0,3,3,3,0,0,2,1,B
0,1,1,1,0,0,1,2,2,1,0,1,1,0,B
3,4,3,4,3,1,3,1,3,1,3,4,4,4,M
0,2,2,2,3,0,3,1,1,1,0,1,2,1,B
2,2,2,0,3,2,3,1,1,0,3,1,2,0,M
2,3,1,3,1,2,1,3,2,3,1,3,2,3,B
3,3,4,3,3,1,4,2,2,1,2,3,3,3,M
3,3,4,2,3,1,4,1,2,0,2,3,3,1,M
2,4,3,1,3,2,3,1,3,2,2,3,2,1,B
1,4,2,4,3,1,2,3,1,2,1,3,1,3,B
0,4,1,4,2,2,1,4,3,4,0,4,1,4,B
3,3,4,3,4,1,4,1,4,2,3,2,4,3,M
2,1,0,1,0,2,0,0,0,1,2,0,0,1,B
2,2,2,1,2,3,2,2,3,2,2,3,3,2,B
1,2,1,0,1,2,0,3,0,2,1,3,1,1,B
0,3,0,1,0,0,0,3,1,1,0,4,2,3,B
2,4,2,2,0,0,0,0,1,0,2,4,3,4,B
0,1,1,1,0,0,0,0,0,0,0,2,2,3,B
0,4,3,3,3,4,3,4,4,1,0,3,2,0,B
0,4,1,1,1,0,1,3,1,2,0,4,1,2,B
1,3,2,1,3,4,3,2,3,2,3,2,2,1,B
3,3,1,3,0,1,0,1,0,0,3,4,1,3,B
1,2,1,1,0,0,1,0,0,0,1,2,2,2,B
3,1,4,4,4,4,4,1,4,4,3,0,3,3,M
1,2,1,1,0,4,0,4,3,0,2,3,2,0,B
3,3,4,4,4,1,4,0,3,2,2,2,4,3,M
4,3,3,3,0,4,1,2,3,0,4,3,3,2,M
4,4,2,4,2,4,1,4,4,1,4,4,3,2,B
4,0,0,3,3,3,1,4,0,4,4,1,0,3,B
4,1,0,4,1,3,0,4,3,3,4,4,0,2,B
0,3,1,2,1,4,1,4,3,2,0,2,1,0,B
4,1,2,3,1,2,2,3,2,3,4,2,2,3,B
4,0,2,2,2,3,2,0,3,2,4,0,2,2,B
4,1,2,1,1,4,1,1,1,2,4,0,1,1,B
3,2,1,1,1,2,2,2,1,1,2,2,1,0,B
4,2,1,1,2,3,3,2,1,3,3,1,1,1,B
1,2,0,3,0,1,0,3,0,1,1,2,0,1,B
1,1,1,1,0,2,0,4,2,3,1,3,1,1,B
2,1,0,0,2,3,1,3,1,3,2,1,0,1,B
4,0,0,3,3,4,3,3,0,3,4,1,0,3,B
3,0,0,1,2,3,1,4,0,4,2,0,0,1,B
4,2,1,4,1,3,1,0,2,4,3,0,1,3,B
4,0,0,0,1,3,1,4,1,2,4,1,1,0,B
3,2,0,1,2,4,1,4,3,4,2,0,0,0,B
4,0,1,0,0,3,1,3,1,1,4,1,1,0,B
4,1,1,1,1,4,0,4,4,2,4,3,2,0,B
2,3,0,2,1,4,1,4,1,4,1,2,0,0,B
4,0,0,2,3,4,2,4,0,4,4,0,0,1,B
4,1,2,0,1,2,1,0,4,1,3,0,2,0,B
4,2,2,0,1,4,1,3,3,1,4,2,2,0,B
4,2,2,0,2,3,3,3,4,3,4,1,2,0,B
4,0,0,0,2,4,2,3,0,2,4,0,0,0,B
4,3,4,4,1,2,2,0,4,3,4,3,4,4,M
4,4,4,4,4,2,4,2,4,3,3,3,4,2,M
3,4,4,2,4,3,4,4,4,0,2,3,4,0,M
4,2,4,2,4,4,4,1,4,2,4,1,3,1,M
4,1,3,1,3,2,3,2,3,0,4,1,3,0,M
4,4,4,4,4,4,4,2,4,3,4,4,4,4,M
4,0,0,0,3,3,1,3,0,4,3,0,0,2,B
